# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jan 31 11:31:24 2025
#
# User preference: *
#
# CONSTRAINT:  where (pl_refname like '%Rosenthal%')
# CONSTRAINT:  order by sy_pnum desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 219134 b,HD 219134,0,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,3.09294700,0.00007600,-0.00007900,0,0.038380,0.000440,-0.000440,0,,,,,,,,,4.13177,0.31783,-0.34961,0,0.01300,0.00100,-0.00110,0,Msini,0.063000,0.070000,-0.045000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,4817.14,62.04,-62.04,0,0.76,0.01,-0.01,0,0.79,0.03,-0.03,0,0.083,0.058,-0.058,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,0.0038400,-0.0038500,5.5691100,0.0230000,-0.0230000,3.2610000,0.3040000,-0.3040000,5.2402000,0.0022257,-0.0022257,2022-05-09,2021-07,2022-05-09
HD 219134 c,HD 219134,0,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,6.76406000,0.00093000,-0.00076000,0,0.064660,0.000740,-0.000730,0,,,,,,,,,3.55968,0.44496,-0.44496,0,0.01120,0.00140,-0.00140,0,Msini,0.160000,0.120000,-0.110000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,4817.14,62.04,-62.04,0,0.76,0.01,-0.01,0,0.79,0.03,-0.03,0,0.083,0.058,-0.058,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,0.0038400,-0.0038500,5.5691100,0.0230000,-0.0230000,3.2610000,0.3040000,-0.3040000,5.2402000,0.0022257,-0.0022257,2021-09-20,2021-07,2021-09-20
HD 219134 d,HD 219134,0,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,46.73400000,0.01200000,-0.01200000,0,0.234500,0.002700,-0.002700,0,,,,,,,,,16.39995,1.01705,-0.95349,0,0.05160,0.00320,-0.00300,0,Msini,0.077000,0.055000,-0.050000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,4817.14,62.04,-62.04,0,0.76,0.01,-0.01,0,0.79,0.03,-0.03,0,0.083,0.058,-0.058,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,0.0038400,-0.0038500,5.5691100,0.0230000,-0.0230000,3.2610000,0.3040000,-0.3040000,5.2402000,0.0022257,-0.0022257,2021-09-20,2021-07,2021-09-20
HD 219134 f,HD 219134,0,1,6,Radial Velocity,2015,Multiple Observatories,Published Confirmed,1,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,22.79450000,0.00470000,-0.00560000,0,0.145300,0.001700,-0.001600,0,,,,,,,,,7.72323,0.73101,-0.69922,0,0.02430,0.00230,-0.00220,0,Msini,0.072000,0.078000,-0.051000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,4817.14,62.04,-62.04,0,0.76,0.01,-0.01,0,0.79,0.03,-0.03,0,0.083,0.058,-0.058,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,0.0038400,-0.0038500,5.5691100,0.0230000,-0.0230000,3.2610000,0.3040000,-0.3040000,5.2402000,0.0022257,-0.0022257,2021-09-20,2021-07,2021-09-20
HD 219134 h,HD 219134,0,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,2104.00000000,16.00000000,-17.00000000,0,2.968000,0.037000,-0.037000,0,,,,,,,,,97.89115,4.44960,-4.44960,0,0.30800,0.01400,-0.01400,0,Msini,0.025000,0.027000,-0.018000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,4817.14,62.04,-62.04,0,0.76,0.01,-0.01,0,0.79,0.03,-0.03,0,0.083,0.058,-0.058,0,[Fe/H],4.57,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.5312700,0.0038400,-0.0038500,5.5691100,0.0230000,-0.0230000,3.2610000,0.3040000,-0.3040000,5.2402000,0.0022257,-0.0022257,2021-09-20,2021-07,2021-09-20
HD 34445 b,HD 34445,0,1,6,Radial Velocity,2009,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,1059.00000000,5.50000000,-5.60000000,0,2.105000,0.038000,-0.039000,0,,,,,,,,,209.13109,13.03096,-12.71314,0,0.65800,0.04100,-0.04000,0,Msini,0.103000,0.059000,-0.056000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>,,5829.49,86.15,-86.15,0,1.48,0.03,-0.03,0,1.11,0.06,-0.06,0,0.138,0.059,-0.059,0,[Fe/H],4.15,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h17m40.98s,79.4207483,+07d21m09.78s,7.3527156,46.0907000,0.0996000,-0.0991000,7.3100000,0.0300000,-0.0300000,5.7900000,0.0230000,-0.0230000,7.1494700,0.0002570,-0.0002570,2021-09-20,2021-05,2021-09-20
55 Cnc b,55 Cnc,0,2,5,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,14.65171000,0.00005300,-0.00005200,0,0.116200,0.001800,-0.001800,0,,,,,,,,,267.29369,8.26354,-8.26354,0,0.84100,0.02600,-0.02600,0,Msini,0.004800,0.003600,-0.003100,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5317.89,80.51,-80.51,0,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0,0.383,0.055,-0.055,0,[Fe/H],4.46,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2022-05-09,2021-07,2022-05-09
55 Cnc c,55 Cnc,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,44.38270000,0.00380000,-0.00380000,0,0.243200,0.003700,-0.003800,0,,,,,,,,,54.34866,2.09767,-2.09767,0,0.17100,0.00660,-0.00660,0,Msini,0.048000,0.031000,-0.029000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5317.89,80.51,-80.51,0,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0,0.383,0.055,-0.055,0,[Fe/H],4.46,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-09-20,2021-07,2021-09-20
55 Cnc d,55 Cnc,0,2,5,Radial Velocity,2002,Lick Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,4820.00000000,77.00000000,-72.00000000,0,5.540000,0.100000,-0.100000,0,,,,,,,,,908.98924,79.45710,-79.45710,0,2.86000,0.25000,-0.25000,0,Msini,0.139000,0.015000,-0.016000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5317.89,80.51,-80.51,0,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0,0.383,0.055,-0.055,0,[Fe/H],4.46,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-09-20,2021-07,2021-09-20
55 Cnc e,55 Cnc,0,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,0.73654450,0.00000140,-0.00000150,0,0.015830,0.000240,-0.000240,0,,,,,,,,,9.37594,0.44496,-0.44496,0,0.02950,0.00140,-0.00140,0,Msini,0.036000,0.034000,-0.025000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5317.89,80.51,-80.51,0,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0,0.383,0.055,-0.055,0,[Fe/H],4.46,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2022-05-09,2021-07,2022-05-09
