# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 21 07:30:11 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
55 Cnc b,55 Cnc,1,2,5,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,14.65160000000,0.00010000000,-0.00010000000,0,0.1134000000,0.0006000000,-0.0006000000,0,,,,,,,,,255.40000000,2.90000000,-2.90000000,0,0.80360000,0.00920000,-0.00910000,0,Msini,0.000000,0.010000,-0.010000,0,,,,,,,,,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,0.905000,0.015000,-0.015000,0,0.3500,0.1000,-0.1000,0,[Fe/H],4.430000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,0.01240000,-0.01230000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
55 Cnc c,55 Cnc,1,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,44.39890000000,0.00420000000,-0.00430000000,0,0.2373000000,0.0013000000,-0.0013000000,0,,,,,,,,,51.20000000,1.30000000,-1.30000000,0,0.16110000,0.00400000,-0.00400000,0,Msini,0.030000,0.020000,-0.020000,0,,,,,,,,,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,0.905000,0.015000,-0.015000,0,0.3500,0.1000,-0.1000,0,[Fe/H],4.430000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,0.01240000,-0.01230000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
55 Cnc d,55 Cnc,1,2,5,Radial Velocity,2002,Lick Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,5574.20000000000,93.80000000000,-88.60000000000,0,5.9570000000,0.0740000000,-0.0710000000,0,,,,,,,,,991.60000000,30.70000000,-33.10000000,0,3.12000000,0.10000000,-0.10000000,0,Msini,0.130000,0.020000,-0.020000,0,,,,,,,,,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,0.905000,0.015000,-0.015000,0,0.3500,0.1000,-0.1000,0,[Fe/H],4.430000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,0.01240000,-0.01230000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,McDonald Observatory,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.73654740000,0.00000130000,-0.00000140000,0,0.0154400000,0.0000500000,-0.0000500000,0,1.87500000,0.02900000,-0.02900000,0,0.16727630,0.00258721,-0.00258721,0,7.99000000,0.32000000,-0.33000000,0,0.02513923,0.00100683,-0.00103829,0,Mass,0.050000,0.030000,-0.030000,0,,,,,,,,,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,0.905000,0.015000,-0.015000,0,0.3500,0.1000,-0.1000,0,[Fe/H],4.430000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,0.01240000,-0.01230000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,Multiple Observatories,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88000000000,0.29000000000,-0.29000000000,0,0.7708000000,0.0043000000,-0.0044000000,0,,,,,,,,,47.80000000,2.40000000,-2.40000000,0,0.15030000,0.00760000,-0.00760000,0,Msini,0.080000,0.050000,-0.040000,0,,,,,,,,,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,0.905000,0.015000,-0.015000,0,0.3500,0.1000,-0.1000,0,[Fe/H],4.430000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,0.01240000,-0.01230000,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000,5.7297300,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
WASP-53 b,WASP-53,1,1,2,Transit,2017,Multiple Facilities,Published Confirmed,0,<a refstr=TRIAUD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1714T/abstract target=ref>Triaud et al. 2017</a>,3.30984430000,0.00000200000,-0.00000200000,0,0.0410100000,0.0008300000,-0.0009100000,0,12.03846600,0.41473300,-0.41473300,0,1.07400000,0.03700000,-0.03700000,0,677.61356000,29.24036000,-29.87602000,0,2.13200000,0.09200000,-0.09400000,0,Mass,0.030000,,,1,,,,,1053.00,16.00,-16.00,0,0,<a refstr=TRIAUD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1714T/abstract target=ref>Triaud et al. 2017</a>,,4953.00,60.00,-60.00,0,0.798000,0.023000,-0.023000,0,0.839000,0.054000,-0.054000,0,0.2200,0.1100,-0.1100,0,[Fe/H],4.553000,0.019000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h07m38.20s,31.9091639,-20d39m42.63s,-20.6618430,201.33800000,1.38000000,-1.36200000,12.5910000,0.0690000,-0.0690000,10.3900000,0.0230000,-0.0230000,12.3473000,0.0003290,-0.0003290,2017-01-31,2017-05,2017-02-02
WASP-53 c,WASP-53,1,1,2,Radial Velocity,2017,Multiple Facilities,Published Confirmed,0,<a refstr=TRIAUD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1714T/abstract target=ref>Triaud et al. 2017</a>,2840.00000000000,170.00000000000,-130.00000000000,-1,3.7300000000,0.1600000000,-0.1400000000,-1,,,,,,,,,5196.52050000,270.15550000,-260.62060000,-1,16.35000000,0.85000000,-0.82000000,-1,Msini,0.836900,0.006900,-0.007000,0,,,,,,,,,0,<a refstr=TRIAUD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1714T/abstract target=ref>Triaud et al. 2017</a>,,4953.00,60.00,-60.00,0,0.798000,0.023000,-0.023000,0,0.839000,0.054000,-0.054000,0,0.2200,0.1100,-0.1100,0,[Fe/H],4.553000,0.019000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h07m38.20s,31.9091639,-20d39m42.63s,-20.6618430,201.33800000,1.38000000,-1.36200000,12.5910000,0.0690000,-0.0690000,10.3900000,0.0230000,-0.0230000,12.3473000,0.0003290,-0.0003290,2017-01-31,2017-05,2017-02-02
WASP-47 b,WASP-47,1,1,4,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,4.15915100000,0.00000040000,-0.00000040000,0,,,,,12.86000000,0.10000000,-0.10000000,0,1.14729433,0.00892142,-0.00892142,0,374.00000000,17.00000000,-16.00000000,0,1.17673560,0.05348798,-0.05034163,0,Mass,0.000600,0.000500,-0.000200,0,,,,,,,,,1,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,,,,,,1.156000,0.009000,-0.009000,0,1.058000,0.047000,-0.047000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h04m48.74s,331.2030920,-12d01m08.64s,-12.0190670,264.78000000,4.88800000,-4.71600000,11.9360000,0.0460000,-0.0460000,10.1920000,0.0260000,-0.0260000,11.7889000,0.0002530,-0.0002530,2024-08-16,2023-05,2024-08-16
WASP-47 c,WASP-47,1,1,4,Radial Velocity,2015,La Silla Observatory,Published Confirmed,0,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,589.57000000000,0.02000000000,-0.02000000000,0,,,,,,,,,,,,,447.00000000,18.00000000,-22.00000000,-1,1.40641928,0.05663433,-0.06921974,-1,Mass,0.264000,0.007000,-0.012000,0,,,,,,,,,0,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,,,,,,1.156000,0.009000,-0.009000,0,1.058000,0.047000,-0.047000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h04m48.74s,331.2030920,-12d01m08.64s,-12.0190670,264.78000000,4.88800000,-4.71600000,11.9360000,0.0460000,-0.0460000,10.1920000,0.0260000,-0.0260000,11.7889000,0.0002530,-0.0002530,2024-08-16,2023-05,2024-08-16
WASP-47 d,WASP-47,1,1,4,Transit,2015,K2,Published Confirmed,0,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,9.03050100000,0.00001300000,-0.00001300000,0,,,,,3.65000000,0.03000000,-0.03000000,0,0.32563175,0.00267643,-0.00267643,0,15.50000000,0.70000000,-0.90000000,0,0.04876845,0.00220245,-0.00283172,0,Mass,0.001000,0.000800,-0.000700,0,,,,,,,,,1,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,,,,,,1.156000,0.009000,-0.009000,0,1.058000,0.047000,-0.047000,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h04m48.74s,331.2030920,-12d01m08.64s,-12.0190670,264.78000000,4.88800000,-4.71600000,11.9360000,0.0460000,-0.0460000,10.1920000,0.0260000,-0.0260000,11.7889000,0.0002530,-0.0002530,2024-08-16,2023-05,2024-08-16
