# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug  5 13:03:20 2025
#
# User preference: *
#
# CONSTRAINT:  where (disc_year < 2025
# CONSTRAINT:  and pl_orbsmaxstr > 0.1
# CONSTRAINT:  and pl_rvampstr > 1
# CONSTRAINT:  and st_massstr in (0.6,1.6))
# CONSTRAINT:  order by hostname desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_rvamperr1:   Radial Velocity Amplitude Upper Unc. [m/s]
# COLUMN pl_rvamperr2:   Radial Velocity Amplitude Lower Unc. [m/s]
# COLUMN pl_rvamplim:    Radial Velocity Amplitude Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
ups Leo b,upsLeo,1,1,Radial Velocity,2021,Okayama Astrophysical Observatory,0,385.20000000000,2.80000000000,-1.30000000000,0,1.1800000000,0.1100000000,-0.3200000000,0,14.20000000,,,0,1.27000000,,,0,162.09248757,19.06970442,-82.63538582,0,0.51000000,0.06000000,-0.26000000,0,Msini,0.320000,0.134000,-0.218000,0,,,,,,,,,0,11.70000,1.70000,-1.60000,0,G9 III,4836.00,,,0,11.220000,3.150000,-0.450000,0,1.480000,0.900000,-0.380000,0,-0.2000,0.0900,-0.0800,0,[Fe/H],2.460000,0.090000,-0.090000,0,11h36m56.93s,174.2372188,-00d49m24.83s,-0.8235643,52.59730000,0.92720000,-0.89630000,4.3049000,0.0230000,-0.0230000,2.1840000,0.2480000,-0.2480000,4.0304000,0.0085130,-0.0085130
ups And c,upsAnd,2,3,Radial Velocity,1999,Multiple Observatories,0,241.25800000000,0.06400000000,-0.06400000000,0,0.8277740000,0.0000150000,-0.0000150000,0,12.30000000,,,0,1.10000000,,,0,4443.24112986,731.00533610,-1684.49055710,0,13.98000000,2.30000000,-5.30000000,0,Mass,0.259600,0.007900,-0.007900,0,,,,,,,,,0,68.14000,0.45000,-0.45000,0,F8 V,6156.77,112.16,-112.16,0,1.560000,,,0,1.300000,,,0,0.1014,0.0100,-0.0100,0,[M/H],4.125176,0.024844,-0.024844,0,01h36m47.60s,24.1983534,+41d24m13.73s,41.4038147,13.40540000,0.06350000,-0.06290000,4.0956500,0.0230000,-0.0230000,2.8590000,0.2740000,-0.2740000,3.9868700,0.0089371,-0.0089371
ups And d,upsAnd,2,3,Radial Velocity,1999,Multiple Observatories,0,1276.46000000000,0.57000000000,-0.57000000000,0,2.5132900000,0.0007500000,-0.0007500000,0,12.50000000,,,0,1.11000000,,,0,3257.74117175,222.47988490,-1048.83374310,0,10.25000000,0.70000000,-3.30000000,0,Mass,0.298700,0.007200,-0.007200,0,,,,,,,,,0,56.26000,0.52000,-0.52000,0,F8 V,6156.77,112.16,-112.16,0,1.560000,,,0,1.300000,,,0,0.1014,0.0100,-0.0100,0,[M/H],4.125176,0.024844,-0.024844,0,01h36m47.60s,24.1983534,+41d24m13.73s,41.4038147,13.40540000,0.06350000,-0.06290000,4.0956500,0.0230000,-0.0230000,2.8590000,0.2740000,-0.2740000,3.9868700,0.0089371,-0.0089371
rho CrB b,rhoCrB,1,4,Radial Velocity,1997,Fred Lawrence Whipple Observatory,1,39.84380000000,0.00270000000,-0.00270000000,0,0.2245000000,0.0023000000,-0.0024000000,0,13.70000000,,,0,1.23000000,,,0,347.38644885,7.31005336,-7.31005336,0,1.09300000,0.02300000,-0.02300000,0,Msini,0.038000,0.002500,-0.002500,0,34.7000,2.1000,-2.0000,0,614.00,9.10,-9.00,0,0,67.28000,0.19000,-0.19000,0,G0 V,5817.00,24.00,-24.00,0,1.340000,0.040000,-0.040000,0,0.950000,0.010000,-0.010000,0,-0.2000,0.0100,-0.0100,0,[Fe/H],4.250000,0.050000,-0.050000,0,16h01m02.42s,240.2600639,+33d18m00.67s,33.3001861,17.46710000,0.02410000,-0.02400000,5.4081600,0.0230000,-0.0230000,3.8570000,0.0360000,-0.0360000,5.2416700,0.0021744,-0.0021744
rho CrB c,rhoCrB,1,4,Radial Velocity,2016,Multiple Observatories,0,102.19000000000,0.27000000000,-0.22000000000,0,0.4206000000,0.0044000000,-0.0045000000,0,5.78000000,,,0,0.51500000,,,0,28.20000000,1.50000000,-1.50000000,0,0.08872712,0.00471953,-0.00471953,0,Msini,0.096000,0.053000,-0.054000,0,9.8500,0.6000,-0.5600,0,448.10,6.60,-6.60,0,0,4.00000,0.18000,-0.17000,0,G0 V,5817.00,24.00,-24.00,0,1.340000,0.040000,-0.040000,0,0.950000,0.010000,-0.010000,0,-0.2000,0.0100,-0.0100,0,[Fe/H],4.250000,0.050000,-0.050000,0,16h01m02.42s,240.2600639,+33d18m00.67s,33.3001861,17.46710000,0.02410000,-0.02400000,5.4081600,0.0230000,-0.0230000,3.8570000,0.0360000,-0.0360000,5.2416700,0.0021744,-0.0021744
rho CrB d,rhoCrB,1,4,Radial Velocity,2023,Lowell Observatory,0,282.20000000000,2.20000000000,-3.70000000000,0,0.8270000000,0.0110000000,-0.0110000000,0,4.94000000,,,0,0.44000000,,,0,21.60000000,2.50000000,-2.50000000,0,0.06796120,0.00786588,-0.00786588,0,Msini,0.000000,,,0,,,,,,,,,0,2.20000,0.14000,-0.14000,0,G0 V,5817.00,24.00,-24.00,0,1.340000,0.040000,-0.040000,0,0.950000,0.010000,-0.010000,0,-0.2000,0.0100,-0.0100,0,[Fe/H],4.250000,0.050000,-0.050000,0,16h01m02.42s,240.2600639,+33d18m00.67s,33.3001861,17.46710000,0.02410000,-0.02400000,5.4081600,0.0230000,-0.0230000,3.8570000,0.0360000,-0.0360000,5.2416700,0.0021744,-0.0021744
rho CrB e,rhoCrB,1,4,Radial Velocity,2023,Lowell Observatory,0,12.94900000000,0.01400000000,-0.01400000000,0,0.1061000000,0.0011000000,-0.0011000000,0,1.77000000,,,0,0.15800000,,,0,3.79000000,0.53000000,-0.54000000,0,0.01192467,0.00166757,-0.00169903,0,Msini,0.126000,0.054000,-0.078000,0,,,,,,,,,0,1.14000,0.01500,-0.01500,0,G0 V,5817.00,24.00,-24.00,0,1.340000,0.040000,-0.040000,0,0.950000,0.010000,-0.010000,0,-0.2000,0.0100,-0.0100,0,[Fe/H],4.250000,0.050000,-0.050000,0,16h01m02.42s,240.2600639,+33d18m00.67s,33.3001861,17.46710000,0.02410000,-0.02400000,5.4081600,0.0230000,-0.0230000,3.8570000,0.0360000,-0.0360000,5.2416700,0.0021744,-0.0021744
psi1 Dra B b,psi1DraB,3,1,Radial Velocity,2015,McDonald Observatory,0,3117.00000000000,42.00000000000,-42.00000000000,0,4.4300000000,0.0400000000,-0.0400000000,0,13.50000000,,,0,1.21000000,,,0,486.27990000,31.78300000,-31.78300000,0,1.53000000,0.10000000,-0.10000000,0,Msini,0.400000,0.050000,-0.050000,0,,,,,,,,,0,21.00000,1.00000,-1.00000,0,G0 V,6212.00,75.00,-75.00,0,1.255735,0.047095,-0.038309,0,1.190000,0.070000,-0.070000,0,0.0100,0.0600,-0.0600,0,[Fe/H],4.200000,0.120000,-0.120000,0,17h41m58.22s,265.4925754,+72d09m20.56s,72.1557114,22.71880000,0.02580000,-0.02580000,5.8080000,0.0150000,-0.0150000,4.5270000,0.0230000,-0.0230000,5.6476600,0.0012207,-0.0012207
omi CrB b,omiCrB,1,1,Radial Velocity,2012,Okayama Astrophysical Observatory,0,187.01000000000,0.15000000000,-0.16000000000,0,0.6990000000,0.0000000000,0.0000000000,0,13.70000000,,,0,1.23000000,,,0,355.96781584,18.11621920,-22.56581690,0,1.12000000,0.05700000,-0.07100000,0,Msini,0.105000,0.036000,-0.079000,0,,,,,,,,,0,33.56000,1.71000,-2.16000,0,K0 III,4769.00,,,0,11.870000,6.200000,-1.500000,0,1.300000,0.950000,-0.360000,0,-0.2700,0.0900,-0.1000,0,[Fe/H],2.360000,0.070000,-0.120000,0,15h20m08.42s,230.0350768,+29d36m57.68s,29.6160222,84.78830000,0.55330000,-0.55330000,5.5052000,0.0230000,-0.0230000,2.9340000,0.3220000,-0.3220000,5.2205500,0.0017426,-0.0017426
ome Ser b,omeSer,2,1,Radial Velocity,2013,Okayama Astrophysical Observatory,0,278.59000000000,0.80000000000,-0.61000000000,0,0.8380000000,0.0020000000,-0.0010000000,0,14.00000000,,,0,1.25000000,,,0,233.92170755,19.06970442,-33.68981114,0,0.73600000,0.06000000,-0.10600000,0,Msini,0.180000,0.066000,-0.127000,0,,,,,,,,,0,23.11000,1.94000,-3.38000,0,G8 III,4724.00,,,0,10.990000,0.150000,-0.240000,0,1.010000,0.070000,-0.080000,0,-0.1200,0.0100,-0.0300,0,[Fe/H],2.370000,0.020000,-0.040000,0,15h50m17.58s,237.5732422,+02d11m46.69s,2.1963040,76.75560000,0.79490000,-0.79490000,5.2164400,0.0230000,-0.0230000,2.9290000,0.2240000,-0.2240000,4.9283300,0.0023375,-0.0023375
