# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 19 13:25:56 2025
#
# User preference: *
#
# CONSTRAINT:  where (pl_refname like '%Rosenthal et al. 2021%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HD 72659 b,HD 72659,0,1,2,Radial Velocity,2002,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,3570.00000000000,23.00000000000,-18.00000000000,0,4.6520000000,0.0670000000,-0.0680000000,0,,,,,,,,,905.81095995,38.13940884,-38.13940884,0,2.85000000,0.12000000,-0.12000000,0,Msini,0.269000,0.018000,-0.026000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5865.17,103.95,-103.95,0,1.522214,0.035865,-0.035865,0,1.053144,0.044446,-0.044446,0,-0.0100,0.0615,-0.0615,0,[Fe/H],4.094401,0.029681,-0.029681,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h34m03.07s,128.5128072,-01d34m07.08s,-1.5686323,51.89490000,0.14510000,-0.14420000,7.4600000,0.0300000,-0.0300000,5.9820000,0.0240000,-0.0240000,7.3107000,0.0001990,-0.0001990,2021-09-20,2021-07,2021-09-20
HD 68988 b,HD 68988,0,1,2,Radial Velocity,2001,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,6.27641870000,0.00000820000,-0.00000780000,0,0.0702000000,0.0009700000,-0.0009900000,0,,,,,,,,,608.32357100,16.84490557,-17.16273398,0,1.91400000,0.05300000,-0.05400000,0,Msini,0.158100,0.002700,-0.003100,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5883.41,103.85,-103.85,0,1.255733,0.028855,-0.028855,0,1.171665,0.048993,-0.048993,0,0.3052,0.0573,-0.0573,0,[Fe/H],4.309234,0.030354,-0.030354,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m22.45s,124.5935429,+61d27m39.07s,61.4608518,60.84470000,0.19180000,-0.19060000,8.2000000,0.0300000,-0.0300000,6.7430000,0.0240000,-0.0240000,8.0461100,0.0003850,-0.0003850,2022-05-09,2021-07,2022-05-09
HD 68988 c,HD 68988,1,1,2,Radial Velocity,2021,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,16000.00000000000,11000.00000000000,-3500.00000000000,0,13.2000000000,5.3000000000,-2.0000000000,0,,,,,,,,,4767.42610500,889.91953960,-476.74261050,0,15.00000000,2.80000000,-1.50000000,0,Msini,0.450000,0.130000,-0.081000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5883.41,103.85,-103.85,0,1.255733,0.028855,-0.028855,0,1.171665,0.048993,-0.048993,0,0.3052,0.0573,-0.0573,0,[Fe/H],4.309234,0.030354,-0.030354,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h18m22.45s,124.5935429,+61d27m39.07s,61.4608518,60.84470000,0.19180000,-0.19060000,8.2000000,0.0300000,-0.0300000,6.7430000,0.0240000,-0.0240000,8.0461100,0.0003850,-0.0003850,2021-09-20,2021-07,2021-09-20
HD 38529 b,HD 38529,0,2,2,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,14.31014000000,0.00023000000,-0.00022000000,0,0.1329000000,0.0003400000,-0.0003500000,0,,,,,,,,,278.41768453,4.44959770,-4.44959770,0,0.87600000,0.01400000,-0.01400000,0,Msini,0.260000,0.014000,-0.015000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5624.21,116.10,-116.10,0,2.857838,0.040402,-0.040402,0,1.529286,0.012148,-0.012148,0,0.3773,0.0586,-0.0586,0,[Fe/H],3.709333,0.012372,-0.012372,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h46m34.83s,86.6451363,+01d10m03.31s,1.1675866,42.35380000,0.10605000,-0.10605000,5.9284800,0.0230000,-0.0230000,4.2110000,0.0360000,-0.0360000,5.7479600,0.0011358,-0.0011358,2021-09-20,2021-07,2021-09-20
HD 38529 c,HD 38529,0,2,2,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,2133.30000000000,1.50000000000,-1.50000000000,0,3.7365000000,0.0099000000,-0.0099000000,0,,,,,,,,,4198.51325647,31.78284070,-31.78284070,0,13.21000000,0.10000000,-0.10000000,0,Msini,0.354500,0.004800,-0.004700,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5624.21,116.10,-116.10,0,2.857838,0.040402,-0.040402,0,1.529286,0.012148,-0.012148,0,0.3773,0.0586,-0.0586,0,[Fe/H],3.709333,0.012372,-0.012372,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h46m34.83s,86.6451363,+01d10m03.31s,1.1675866,42.35380000,0.10605000,-0.10605000,5.9284800,0.0230000,-0.0230000,4.2110000,0.0360000,-0.0360000,5.7479600,0.0011358,-0.0011358,2021-09-20,2021-07,2021-09-20
HD 24040 b,HD 24040,0,1,2,Radial Velocity,2006,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,3552.00000000000,11.00000000000,-11.00000000000,0,4.7080000000,0.0740000000,-0.0770000000,0,,,,,,,,,1287.20504835,47.67426105,-47.67426105,0,4.05000000,0.15000000,-0.15000000,0,Msini,0.012000,0.011000,-0.008200,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5776.49,84.58,-84.58,0,1.387296,0.031370,-0.031370,0,1.103940,0.052950,-0.052950,0,0.1971,0.0590,-0.0590,0,[Fe/H],4.197486,0.029049,-0.029049,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.62240000,0.13620000,-0.13550000,7.5150000,0.0090000,-0.0090000,5.9690000,0.0200000,-0.0200000,7.3347600,0.0001870,-0.0001870,2021-09-20,2021-07,2021-09-20
HD 24040 c,HD 24040,1,1,2,Radial Velocity,2021,Multiple Observatories,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,515.40000000000,2.20000000000,-2.50000000000,0,1.3000000000,0.0210000000,-0.0220000000,0,,,,,,,,,63.88350981,8.58136699,-8.58136699,0,0.20100000,0.02700000,-0.02700000,0,Msini,0.110000,0.120000,-0.079000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5776.49,84.58,-84.58,0,1.387296,0.031370,-0.031370,0,1.103940,0.052950,-0.052950,0,0.1971,0.0590,-0.0590,0,[Fe/H],4.197486,0.029049,-0.029049,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h50m23.09s,57.5962104,+17d28m31.03s,17.4752873,46.62240000,0.13620000,-0.13550000,7.5150000,0.0090000,-0.0090000,5.9690000,0.0200000,-0.0200000,7.3347600,0.0001870,-0.0001870,2021-09-20,2021-07,2021-09-20
HD 183263 b,HD 183263,0,1,2,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,625.09000000000,0.12000000000,-0.12000000000,0,1.5080000000,0.0200000000,-0.0200000000,0,,,,,,,,,1177.23641953,31.46501229,-31.46501229,0,3.70400000,0.09900000,-0.09900000,0,Msini,0.378600,0.004000,-0.004000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5875.99,101.23,-101.23,0,1.293337,0.030503,-0.030503,0,1.170583,0.046067,-0.046067,0,0.2776,0.0625,-0.0625,0,[Fe/H],4.280720,0.029697,-0.029697,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m24.55s,292.1022982,+08d21m28.51s,8.3579183,54.19550000,0.11310000,-0.11270000,7.8600000,0.0300000,-0.0300000,6.4220000,0.0180000,-0.0180000,7.7181800,0.0002250,-0.0002250,2021-09-20,2021-07,2021-09-20
HD 183263 c,HD 183263,0,1,2,Radial Velocity,2008,W. M. Keck Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,5010.00000000000,31.00000000000,-32.00000000000,0,6.0370000000,0.0830000000,-0.0830000000,0,,,,,,,,,2529.91411972,69.92224954,-69.92224954,0,7.96000000,0.22000000,-0.22000000,0,Msini,0.059500,0.006400,-0.006300,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,5875.99,101.23,-101.23,0,1.293337,0.030503,-0.030503,0,1.170583,0.046067,-0.046067,0,0.2776,0.0625,-0.0625,0,[Fe/H],4.280720,0.029697,-0.029697,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m24.55s,292.1022982,+08d21m28.51s,8.3579183,54.19550000,0.11310000,-0.11270000,7.8600000,0.0300000,-0.0300000,6.4220000,0.0180000,-0.0180000,7.7181800,0.0002250,-0.0002250,2021-09-20,2021-07,2021-09-20
HD 169830 b,HD 169830,0,1,2,Radial Velocity,2000,La Silla Observatory,Published Confirmed,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,225.78900000000,0.07400000000,-0.08100000000,0,0.8130000000,0.0083000000,-0.0084000000,0,,,,,,,,,939.50077109,22.24798849,-21.93016008,0,2.95600000,0.07000000,-0.06900000,0,Msini,0.306000,0.012000,-0.013000,0,,,,,,,,,0,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,,6179.26,97.58,-97.58,0,1.935709,0.045980,-0.045980,0,1.406679,0.043485,-0.043485,0,0.1198,0.0616,-0.0616,0,[Fe/H],4.008828,0.024738,-0.024738,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h27m49.48s,276.9561859,-29d49m00.45s,-29.8167919,37.60480000,0.14840000,-0.14730000,5.9000000,0.0300000,-0.0300000,4.6880000,0.0240000,-0.0240000,5.7764100,0.0014001,-0.0014001,2021-09-20,2021-07,2021-09-20
